sent0,sent1,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,neg12,neg13,neg14,neg15,neg16,neg17,neg18,neg19,neg20
 The HFE candidate gene encoding an HLA class I-like protein involved in HH was identified in 1996,HH is a disease,was identified in is a disease,candidate gene is a disease,1996 is a disease,HLA class is a disease,class I-like is a disease,in HH is a disease,identified in is a disease,in HH was is a disease,protein is a disease,in is a disease,candidate is a disease,The HFE candidate is a disease,HFE is a disease,identified is a disease,class is a disease,HFE candidate is a disease, The is a disease,involved in HH is a disease,gene encoding is a disease,was is a disease
" Two missense mutations have been described  C282Y, accounting for 80% to 90% of HH chromosomes, and H63D, which is associated with a milder form of the disease representing 40% to 70% of non-C282Y HH chromosomes",HH is a disease,with a milder is a disease,missense mutations is a disease,representing is a disease,of HH is a disease,90% of is a disease,non-C282Y is a disease,40% to 70% is a disease,associated with a is a disease,80% to 90% is a disease,"chromosomes, and is a disease",a is a disease,Two missense is a disease,80% to is a disease,been described  is a disease,"and H63D, is a disease",Two missense mutations is a disease,chromosomes is a disease,to 90% is a disease,"HH chromosomes, is a disease",HH chromosomes is a disease
" The results confirm that the C282Y substitution was the main mutation involved in hemochromatosis, accounting for 85% of carrier chromosomes, whereas the H63D substitution represented 39% of the HH chromosomes that did not carry the C282Y mutation",hemochromatosis is a disease,chromosomes that did is a disease,the HH chromosomes is a disease,the C282Y substitution is a disease,whereas the is a disease,HH chromosomes that is a disease,accounting is a disease, is a disease,not carry the is a disease,substitution was the is a disease,chromosomes is a disease,substitution was is a disease,"in hemochromatosis, accounting is a disease",that the is a disease,85% of carrier is a disease,accounting for is a disease,the main is a disease,main mutation involved is a disease,C282Y substitution is a disease,"hemochromatosis, accounting is a disease",that the C282Y is a disease
" The results confirm that the C282Y substitution was the main mutation involved in hemochromatosis, accounting for 85% of carrier chromosomes, whereas the H63D substitution represented 39% of the HH chromosomes that did not carry the C282Y mutation",HH is a disease,H63D is a disease,represented 39% of is a disease,C282Y mutation is a disease,whereas is a disease,whereas the H63D is a disease,confirm is a disease,for is a disease,substitution is a disease,accounting for 85% is a disease,The results confirm is a disease,substitution represented 39% is a disease,HH chromosomes is a disease, The is a disease,represented is a disease,that did not is a disease,H63D substitution is a disease,chromosomes that is a disease,mutation involved in is a disease,did not carry is a disease,H63D substitution represented is a disease
 8% of HH chromosomes that were neither C282Y nor H63D,HH is a disease,HH chromosomes is a disease,8% is a disease,that were is a disease, 8% of is a disease,neither is a disease,chromosomes that were is a disease,HH chromosomes that is a disease,neither C282Y nor is a disease,8% of HH is a disease,of HH is a disease,that were neither is a disease,were neither is a disease,nor H63D is a disease,were neither C282Y is a disease,neither C282Y is a disease,of is a disease,C282Y nor H63D is a disease,nor is a disease,8% of is a disease,chromosomes is a disease
 This enrichment of S65C among HH chromosomes suggests that the S65C substitution is associated with the mild form of hemochromatosis,hemochromatosis is a disease,among HH is a disease,associated with is a disease,of is a disease,of S65C among is a disease,the S65C is a disease,of S65C is a disease,that the S65C is a disease,associated with the is a disease,mild form of is a disease,the mild form is a disease,S65C among HH is a disease,S65C substitution is is a disease,enrichment of is a disease,associated is a disease,with the is a disease, is a disease,mild form is a disease,HH chromosomes suggests is a disease,form is a disease,among HH chromosomes is a disease
 This enrichment of S65C among HH chromosomes suggests that the S65C substitution is associated with the mild form of hemochromatosis,HH is a disease,This is a disease,enrichment is a disease,substitution is is a disease, This enrichment is a disease,suggests is a disease,substitution is associated is a disease,S65C is a disease, This is a disease,suggests that the is a disease,that is a disease,This enrichment is a disease,chromosomes suggests is a disease,suggests that is a disease,the is a disease,chromosomes is a disease,mild is a disease,chromosomes suggests that is a disease,the S65C substitution is a disease,S65C among is a disease,with the mild is a disease
Germline BRCA1 alterations in a population-based series of ovarian cancer cases,ovarian cancer is a disease, ,a is a disease,of ovarian is a disease,in is a disease, , ,Germline BRCA1 is a disease,BRCA1 alterations in is a disease,a population-based is a disease,series is a disease,ovarian cancer cases is a disease,series of ovarian is a disease,ovarian is a disease,BRCA1 alterations is a disease, ,of ovarian cancer is a disease,alterations in is a disease, ,cases is a disease,cancer cases is a disease
Germline BRCA1 alterations in a population-based series of ovarian cancer cases,cancer is a disease, ,population-based series of is a disease,population-based series is a disease, ,alterations is a disease,BRCA1 is a disease,in a is a disease, ,in a population-based is a disease, , ,population-based is a disease,of is a disease,a population-based series is a disease,series of is a disease,Germline BRCA1 alterations is a disease,alterations in a is a disease, , ,Germline is a disease
 The objective of this study was to provide more accurate frequency estimates of breast cancer susceptibility gene 1 (BRCA1) germline alterations in the ovarian cancer population,ovarian cancer is a disease,germline is a disease,frequency is a disease,the ovarian cancer is a disease, The objective is a disease,this study is a disease,cancer susceptibility is a disease,frequency estimates is a disease,of breast is a disease,the ovarian is a disease,(BRCA1) germline alterations is a disease,more is a disease,more accurate frequency is a disease,study was to is a disease,to provide is a disease,in is a disease,gene 1 is a disease, The is a disease,gene 1 (BRCA1) is a disease,provide is a disease,cancer susceptibility gene is a disease
 The objective of this study was to provide more accurate frequency estimates of breast cancer susceptibility gene 1 (BRCA1) germline alterations in the ovarian cancer population,breast cancer is a disease,estimates of breast is a disease,susceptibility is a disease,frequency estimates of is a disease,ovarian is a disease,objective of is a disease,1 is a disease,to is a disease,breast cancer susceptibility is a disease,this study was is a disease,to provide more is a disease,was to provide is a disease,of this study is a disease,germline alterations is a disease,study is a disease,population is a disease,alterations in is a disease,(BRCA1) is a disease,accurate is a disease,study was is a disease,susceptibility gene 1 is a disease
 The objective of this study was to provide more accurate frequency estimates of breast cancer susceptibility gene 1 (BRCA1) germline alterations in the ovarian cancer population,cancer is a disease,in the ovarian is a disease,objective of this is a disease,ovarian cancer population is a disease,the is a disease,was to is a disease,susceptibility gene is a disease,more accurate is a disease,gene is a disease,was is a disease,breast is a disease,accurate frequency is a disease,The objective is a disease,provide more is a disease,1 (BRCA1) germline is a disease,estimates is a disease,of this is a disease,objective is a disease,of is a disease,cancer population is a disease,accurate frequency estimates is a disease
" To achieve this, we determined the prevalence of BRCA1 alterations in a population-based series of consecutive ovarian cancer cases",ovarian cancer is a disease,determined the is a disease,consecutive ovarian cancer is a disease, To achieve is a disease,"achieve this, is a disease",consecutive ovarian is a disease,To achieve is a disease,"this, is a disease",of consecutive is a disease,cancer cases is a disease,population-based series of is a disease,"this, we determined is a disease",in a population-based is a disease,the prevalence of is a disease,alterations in is a disease,in a is a disease,a population-based series is a disease,of consecutive ovarian is a disease,population-based series is a disease,"To achieve this, is a disease",BRCA1 alterations is a disease
" To achieve this, we determined the prevalence of BRCA1 alterations in a population-based series of consecutive ovarian cancer cases",cancer is a disease,prevalence of BRCA1 is a disease,series of is a disease,ovarian cancer cases is a disease,determined the prevalence is a disease,To is a disease,of is a disease,a is a disease,series of consecutive is a disease,we is a disease,BRCA1 is a disease,consecutive is a disease,"this, we is a disease", is a disease,of BRCA1 alterations is a disease,BRCA1 alterations in is a disease,prevalence of is a disease,the prevalence is a disease,a population-based is a disease,determined is a disease,alterations in a is a disease
 This is the first population-based ovarian cancer study reporting BRCA1 alterations derived from a comprehensive screen of the entire coding region,ovarian cancer is a disease,study reporting BRCA1 is a disease,reporting is a disease,first population-based is a disease,the first is a disease,a is a disease, is a disease,is is a disease,alterations derived from is a disease,of the is a disease,This is the is a disease,comprehensive is a disease, This is is a disease,derived from a is a disease,first is a disease,BRCA1 alterations is a disease,from a comprehensive is a disease,coding region is a disease,is the first is a disease,comprehensive screen of is a disease,alterations is a disease
 This is the first population-based ovarian cancer study reporting BRCA1 alterations derived from a comprehensive screen of the entire coding region,cancer is a disease,a comprehensive is a disease,screen of is a disease,from is a disease,study reporting is a disease, This is a disease,a comprehensive screen is a disease,from a is a disease,cancer study reporting is a disease,derived is a disease,BRCA1 alterations derived is a disease,reporting BRCA1 alterations is a disease,the entire is a disease,cancer study is a disease,entire is a disease,ovarian is a disease,BRCA1 is a disease,reporting BRCA1 is a disease,alterations derived is a disease,of the entire is a disease,derived from is a disease
 One hundred and seven ovarian cancer cases were analyzed for BRCA1 alterations using the RNase mismatch cleavage assay followed by direct sequencing,ovarian cancer is a disease,cancer cases is a disease,were analyzed is a disease,analyzed for is a disease,using the is a disease,BRCA1 alterations using is a disease,One is a disease,by is a disease,ovarian is a disease,RNase mismatch is a disease,and seven ovarian is a disease,by direct sequencing is a disease,for is a disease,alterations using the is a disease,were is a disease,cancer cases were is a disease, One is a disease, is a disease,the RNase mismatch is a disease,cases were analyzed is a disease,the RNase is a disease
 One hundred and seven ovarian cancer cases were analyzed for BRCA1 alterations using the RNase mismatch cleavage assay followed by direct sequencing,cancer is a disease,cleavage assay followed is a disease,seven ovarian cancer is a disease,analyzed for BRCA1 is a disease,followed by direct is a disease,BRCA1 alterations is a disease,and is a disease,hundred is a disease,direct sequencing is a disease,alterations is a disease,using the RNase is a disease,BRCA1 is a disease,RNase is a disease,hundred and is a disease,direct is a disease,assay followed by is a disease,for BRCA1 is a disease,cases is a disease,mismatch is a disease,seven is a disease,were analyzed for is a disease
 Both patients had a family history of breast or ovarian cancer,ovarian cancer is a disease, ,family history of is a disease, Both patients is a disease,or ovarian cancer is a disease,had a is a disease,history of is a disease, ,Both is a disease, ,a family history is a disease, , ,or is a disease,had a family is a disease,breast is a disease, , ,of breast or is a disease,history is a disease,a is a disease
 Both patients had a family history of breast or ovarian cancer,cancer is a disease, is a disease,breast or ovarian is a disease,had is a disease,patients had is a disease,family is a disease,Both patients is a disease,history of breast is a disease,family history is a disease,of is a disease,breast or is a disease, Both is a disease, ,a family is a disease,patients had a is a disease,Both patients had is a disease,patients is a disease,of breast is a disease, ,or ovarian is a disease,ovarian is a disease
" Several novel as well as previously reported uncharacterized variants were also identified, some of which were associated with a family history of cancer",cancer is a disease,"identified, is a disease",a family is a disease,family history of is a disease, Several is a disease,of which were is a disease,uncharacterized variants were is a disease,which were is a disease,Several is a disease,reported uncharacterized is a disease,reported uncharacterized variants is a disease,variants were is a disease,history of cancer is a disease,well as previously is a disease,a is a disease,Several novel is a disease,with a is a disease,previously is a disease,of cancer is a disease,as previously reported is a disease,were associated with is a disease
 The frequency distribution of common polymorphisms was determined in the 91 Caucasian cancer cases in this series and 24 sister controls using allele-specific amplification,cancer is a disease,allele-specific is a disease,sister controls is a disease,using allele-specific amplification is a disease,24 is a disease,polymorphisms is a disease,in the 91 is a disease,determined in the is a disease,was is a disease,The frequency distribution is a disease,was determined in is a disease,sister is a disease,amplification is a disease, The is a disease,cases in is a disease,the 91 is a disease,Caucasian cancer is a disease,91 Caucasian is a disease, is a disease,this is a disease, The frequency is a disease
" 03) associated with a family history of ovarian cancer, suggesting that this polymorphism may influence ovarian cancer risk",ovarian cancer is a disease, is a disease,that this is a disease,"cancer, suggesting that is a disease",influence ovarian is a disease,history of is a disease,family history of is a disease,influence ovarian cancer is a disease,with a family is a disease,of is a disease,risk is a disease,"cancer, suggesting is a disease",03) associated is a disease,that this polymorphism is a disease,polymorphism is a disease,"cancer, is a disease", 03) is a disease,polymorphism may influence is a disease,03) is a disease,suggesting that this is a disease,may influence is a disease
" 03) associated with a family history of ovarian cancer, suggesting that this polymorphism may influence ovarian cancer risk",cancer is a disease,associated with is a disease,"of ovarian cancer, is a disease",history is a disease,associated is a disease,influence is a disease,family history is a disease,polymorphism may is a disease,this polymorphism is a disease,ovarian is a disease,with is a disease,may is a disease,this polymorphism may is a disease, 03) associated is a disease,with a is a disease,a is a disease,history of ovarian is a disease,"ovarian cancer, is a disease",a family is a disease,cancer risk is a disease,ovarian cancer risk is a disease
" In summary, our data suggest a role for some uncharacterized variants and rare forms of polymorphisms in determining ovarian cancer risk, and highlight the necessity to screen for missense alterations as well as truncating mutations in this population",ovarian cancer is a disease,for some is a disease,"risk, is a disease",variants and rare is a disease,some uncharacterized is a disease,well as is a disease,necessity to screen is a disease,missense alterations as is a disease,as well as is a disease,our is a disease,missense is a disease,forms of is a disease,polymorphisms in determining is a disease,in is a disease,well as truncating is a disease,role for is a disease,and rare forms is a disease,as truncating is a disease,truncating mutations in is a disease,data suggest is a disease,as is a disease
" In summary, our data suggest a role for some uncharacterized variants and rare forms of polymorphisms in determining ovarian cancer risk, and highlight the necessity to screen for missense alterations as well as truncating mutations in this population",cancer is a disease,screen for missense is a disease,to screen for is a disease,this population is a disease,"risk, and highlight is a disease",alterations as is a disease,"risk, and is a disease", is a disease,in determining ovarian is a disease,our data is a disease,in this population is a disease,suggest a role is a disease,the necessity is a disease,for missense alterations is a disease,a role for is a disease,role is a disease,as well is a disease,to is a disease,polymorphisms in is a disease,"cancer risk, and is a disease",some uncharacterized variants is a disease
 APC and APC2 may therefore have comparable functions in development and cancer,cancer is a disease,in is a disease,comparable functions in is a disease,functions in is a disease,functions is a disease,may therefore have is a disease,APC2 may therefore is a disease,have comparable functions is a disease,development and cancer is a disease,APC2 may is a disease, APC and is a disease,APC is a disease,in development is a disease,therefore have is a disease,and APC2 may is a disease,comparable functions is a disease,and cancer is a disease,and APC2 is a disease,APC and APC2 is a disease,therefore is a disease,therefore have comparable is a disease
 The serum of a 29-year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and arthritis as a child was found to lack serum hemolytic complement activity,arthritis is a disease,29-year is a disease,a 29-year is a disease,lack serum hemolytic is a disease,old woman is a disease,infection and a is a disease,episode is a disease,serum is a disease,with is a disease,29-year old is a disease,as is a disease,a 29-year old is a disease,found to is a disease,hemolytic complement activity is a disease,with a is a disease,child is a disease,a child was is a disease,and a history is a disease,serum of is a disease,found to lack is a disease,meningitis and is a disease
 The serum of a 29-year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and arthritis as a child was found to lack serum hemolytic complement activity,meningococcal meningitis is a disease,complement is a disease,a is a disease,meningococcal meningitis and is a disease,woman with is a disease, The serum is a disease,episode of disseminated is a disease,of disseminated gonococcal is a disease,lack is a disease,29-year old woman is a disease,meningitis and arthritis is a disease,old is a disease,lack serum is a disease,of meningococcal meningitis is a disease,of a 29-year is a disease,child was found is a disease,arthritis as is a disease,complement activity is a disease,was is a disease,and arthritis as is a disease,gonococcal is a disease
 Complete absence of C7 was also found in one sibling who had the clinical syndrome of meningococcal meningitis and arthritis  as a child and in this siblings clinically well eight-year-old son,arthritis is a disease,of C7 was is a disease,the is a disease,siblings clinically is a disease, is a disease,sibling who is a disease,arthritis  is a disease,found in is a disease,was also found is a disease,well eight-year-old son is a disease,this is a disease,and in this is a disease,syndrome is a disease,of is a disease,absence is a disease,a child and is a disease,meningococcal is a disease,was is a disease,found is a disease,clinically is a disease,eight-year-old son is a disease
 Complete absence of C7 was also found in one sibling who had the clinical syndrome of meningococcal meningitis and arthritis  as a child and in this siblings clinically well eight-year-old son,meningococcal meningitis is a disease,siblings clinically well is a disease,one sibling is a disease,sibling is a disease,a child is a disease,child and is a disease,one sibling who is a disease,as a child is a disease,meningococcal meningitis and is a disease,Complete absence is a disease,clinically well eight-year-old is a disease,also is a disease,of C7 is a disease,had the is a disease,clinical syndrome of is a disease,had is a disease,who is a disease,had the clinical is a disease,in is a disease,the clinical syndrome is a disease,well is a disease
 HLA histocompatibility typing of the family members did not demonstrate evidence for genetic linkage of C7 deficiency with the major histocompatibility loci,C7 deficiency is a disease,HLA histocompatibility typing is a disease,family members did is a disease,C7 deficiency with is a disease,typing is a disease,linkage is a disease,the is a disease, is a disease,with the is a disease,C7 is a disease,major is a disease,histocompatibility typing of is a disease,the family is a disease,of is a disease,of C7 deficiency is a disease,linkage of C7 is a disease,genetic linkage is a disease,histocompatibility loci is a disease,typing of the is a disease,did not is a disease, HLA histocompatibility is a disease
 This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections,C7 deficiency is a disease,associated is a disease,host defense is a disease,important is a disease,bactericidal activity is a disease,be important in is a disease,first is a disease,cases of C7 is a disease,in host defense is a disease,first cases is a disease,This report is a disease,of C7 deficiency is a disease,complications is a disease,deficiency associated with is a disease,with infectious is a disease,neisseria infections is a disease, This is a disease,the first is a disease,may be is a disease,represents is a disease,complications and suggests is a disease
GCH1 mutation in a patient with adult-onset oromandibular dystonia,oromandibular dystonia is a disease,mutation in is a disease, ,GCH1 mutation is a disease, ,mutation is a disease,a patient is a disease,a patient with is a disease,in a is a disease,mutation in a is a disease, , ,in is a disease, , , , ,patient with is a disease,a is a disease,patient with adult-onset is a disease,adult-onset oromandibular dystonia is a disease
GCH1 mutation in a patient with adult-onset oromandibular dystonia,dystonia is a disease, , ,adult-onset oromandibular is a disease, ,oromandibular is a disease, ,with adult-onset oromandibular is a disease,GCH1 is a disease, ,adult-onset is a disease,with adult-onset is a disease, , ,GCH1 mutation in is a disease, , ,patient is a disease, ,in a patient is a disease,with is a disease
 The authors report a mutation in exon 5 of GCH1 in a patient with adult-onset oromandibular dystonia and no obvious family history of dystonia,oromandibular dystonia is a disease,authors report a is a disease,5 of GCH1 is a disease,no obvious is a disease, is a disease,of is a disease,and is a disease,The is a disease,GCH1 is a disease,a mutation in is a disease,family history is a disease,with is a disease,family is a disease,adult-onset is a disease,obvious is a disease,authors is a disease,in a patient is a disease,and no obvious is a disease, The authors is a disease,with adult-onset oromandibular is a disease,GCH1 in a is a disease
 The authors report a mutation in exon 5 of GCH1 in a patient with adult-onset oromandibular dystonia and no obvious family history of dystonia,dystonia is a disease,authors report is a disease,report a is a disease,patient with is a disease,family history of is a disease,report a mutation is a disease,in exon is a disease,in is a disease,history of is a disease,adult-onset oromandibular dystonia is a disease,of GCH1 is a disease,in exon 5 is a disease,exon 5 is a disease,adult-onset oromandibular is a disease,mutation in exon is a disease,a patient is a disease,a mutation is a disease,exon is a disease,oromandibular dystonia and is a disease,dystonia and is a disease,report is a disease
 These findings demonstrate that GCH1 mutations must be considered even in patients with dystonic symptoms not typical of dopa-responsive dystonia,dopa-responsive dystonia is a disease,even is a disease,considered even is a disease,GCH1 mutations must is a disease, ,mutations must is a disease,not typical is a disease,These findings demonstrate is a disease,not is a disease,with is a disease,in patients with is a disease,not typical of is a disease,demonstrate that is a disease,must is a disease,considered even in is a disease,patients with is a disease,findings demonstrate that is a disease,typical is a disease, ,with dystonic symptoms is a disease,GCH1 mutations is a disease
